City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,San Isidro,PE,-12.1167,-77.05,60.01,85,64,8.48,broken clouds
267,Deder,ET,9.3167,41.45,62.06,68,6,3.27,clear sky
268,Horta,PT,38.5333,-28.6333,68.79,75,24,11.05,few clouds
269,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,92,75,10.36,broken clouds
270,Hargeysa,SO,9.56,44.065,75.88,50,2,15.77,clear sky
271,Tessalit,ML,20.1986,1.0114,86.94,18,59,4.81,broken clouds
272,Palmer,US,42.1584,-72.3287,55.51,86,19,3.49,few clouds
273,Tripoli,LY,32.8752,13.1875,77.05,59,99,9.42,light rain
274,Aykhal,RU,66.0,111.5,24.76,91,100,13.31,light snow
275,Esperance,AU,-33.8667,121.9,68.99,50,4,10.98,clear sky
276,America Dourada,BR,-11.4553,-41.4361,64.65,88,5,9.86,clear sky
277,Anadyr,RU,64.75,177.4833,34.3,93,75,8.95,light shower snow
278,Manakara,MG,-22.1333,48.0167,68.45,82,72,0.89,light rain
279,Manggar,ID,-2.8833,108.2667,85.26,64,72,11.88,broken clouds
280,Saint-Philippe,RE,-21.3585,55.7679,72.99,63,32,9.13,scattered clouds
281,Siswa Bazar,IN,27.15,83.7667,84.36,69,88,2.42,overcast clouds
282,Loikaw,MM,19.6742,97.2094,82.6,63,80,2.82,broken clouds
283,Nuuk,GL,64.1835,-51.7216,41.61,100,100,4.61,mist
284,Saskylakh,RU,71.9167,114.0833,31.64,84,52,8.23,broken clouds
285,Gravelbourg,CA,49.8834,-106.5512,63.77,39,6,16.02,clear sky
286,Yeovil,GB,50.9416,-2.6321,52.43,92,100,3.44,overcast clouds
287,Gimli,CA,50.6336,-96.9907,44.96,46,67,10.58,broken clouds
288,Staryy Nadym,RU,65.6118,72.6842,30.33,68,97,14.65,overcast clouds
289,Gusau,NG,12.1628,6.6614,73.45,79,98,6.13,overcast clouds
290,Bethel,US,41.3712,-73.414,56.48,82,41,1.01,scattered clouds
291,Muros,ES,42.7762,-9.0603,61.09,90,96,10.16,overcast clouds
292,Xining,CN,36.6167,101.7667,61.54,43,1,3.36,clear sky
293,Ambanja,MG,-13.6833,48.45,77.76,53,7,2.46,clear sky
294,Cahul,MD,45.9075,28.1944,58.84,87,6,6.2,clear sky
295,Lundazi,ZM,-12.2929,33.1782,71.08,51,6,11.32,clear sky
296,Atasu,KZ,48.6814,71.6433,43.75,53,85,12.44,overcast clouds
297,Severo-Kurilsk,RU,50.6789,156.125,53.17,59,2,13.38,clear sky
298,Santa Isabel,BR,-23.3156,-46.2214,60.44,97,100,3.18,overcast clouds
299,Hofn,IS,64.2539,-15.2082,43.07,72,20,6.71,few clouds
300,Raudeberg,NO,61.9875,5.1352,52.47,68,100,7.02,overcast clouds
301,Pushkar,IN,26.5,74.55,86.61,46,0,9.62,clear sky
302,Martapura,ID,-3.4167,114.85,89.69,55,40,4.61,scattered clouds
303,Kangaatsiaq,GL,68.3065,-53.4641,41.04,92,99,6.98,overcast clouds
304,Abu Dhabi,AE,24.4667,54.3667,87.96,70,3,11.05,clear sky
305,Mocuba,MZ,-16.8392,36.9856,76.59,63,1,6.33,clear sky
306,Muskegon,US,43.3,-86.1334,49.01,88,99,10.31,overcast clouds
307,Pontes E Lacerda,BR,-15.2261,-59.3353,72.81,87,77,2.01,broken clouds
308,Cherskiy,RU,68.75,161.3,33.6,48,7,2.84,clear sky
309,Verkhnyaya Inta,RU,65.9811,60.3094,30.69,66,23,5.21,few clouds
